"id_identificador";"latitud";"longitud";"descripcion";"direccion";"fechaAlta";"Zona";"Barrio";"codigo_unico";"Potencia";"Marca";"Telegestión";"Fabricante";"Modelo";"Tecnología";"Fotocélula";"Status"
1221337;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 227;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221338;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 255;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221339;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 255;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221340;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 296;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221341;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 296;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221342;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 314;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221343;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 314;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221344;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 348;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221345;-34.52582825097683;-58.47550392150879;ITALAVIA 100W     Soporte: COL 9/2 M   ;ANGEL MONASTERIO 348;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";ITALAVIA;Si;ELT / ITALAVIA;"82302011-146";LED;Si;
1221346;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 382;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221347;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 382;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221348;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 412;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
