EDIFICIOS MUNICIPALES,LATITUD,LONGITUD,Dirección
Biblioteca Popular Club de Leones,"-34,546827","-58,50263","Estados Unidos 328, Villa Martelli"
Biblioteca Popular Vicente López y Planes,"-34,509301","-58,491541","Avenida Maipú 2901, Olivos"
Biblioteca Popular Martín Miguel de Güemes,"-34,527943","-58,550298","Avenida Bernardo Arder 4048, Villa Adelina"
Jardín Maternal N° 1,"-34,550869","-58,518129","Moldes 4925, Villa Martelli"
Jardín Maternal N° 2,"-34,512078","-58,513497","José Ingenieros 3425, Olivos"
Jardín Maternal N° 3,"-34,539902","-58,520613","Benjamin Franklin 1785, Florida Oeste"
Jardín Maternal N° 4,"-34,529133","-58,527079","Gervasio Méndez 2775, Munro"
Jardín Maternal N° 5,"-34,54656","-58,520603","Tuyutí 1119, Florida Oeste"
Jardín Maternal N° 6,"-34,541821","-58,499025","Lavalle 3127, Villa Martelli"
Jardín Maternal N° 7,"-34,525331","-58,538666","Alfredo Guido 3644, Carapachay"
Jardín Maternal N° 8,"-34,542934","-58,513225","Santa Rosa 4148, Florida Oeste"
Jardín Maternal N° 9,"-34,507831","-58,491598","Pelliza 1411, Olivos"
Jardín Maternal N° 10,-34.541375,"-58,487455","Aristóbulo del Valle 2375, Florida"
Jardín Maternal N° 11,"-34,537425","-58,534187","Manuel Belzú 5660, Munro"
Jardín Maternal N° 12,"-34,507424","-58,497862","Acassuso 1932, Olivos"
Jardín Maternal N° 13,"-34,53146","-58,484568","Melo 1861, Florida"
Jardín Maternal N° 14,"-34,54179","-58,538409","Israel 2361, Munro"
Jardín Maternal N° 15,"-34,514027","-58,526299","Panamá 3948, Munro"
Jardín Maternal N° 16,"-34,526341","-58,507532","Rastreador Fournier 3370, Olivos"
Jardín de Infantes N° 1,"-34,536944","-58,479821","Caseros 257, Vicente López"
Jardín de Infantes N° 2,-34.535826,"-58,545117","Montes de Oca 6840, Munro"
Jardín de Infantes N° 3,"-34,528708","-58,523204","José Hernández 4527, Munro"
